Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
95,The People vs. Larry Flynt,12/25/1996,1997,Sony Pictures,Drama,"$18,447,098","4,018,975"
96,That Darn Cat,2/14/1997,1997,Walt Disney,Adventure,"$18,301,828","3,987,326"
97,That Old Feeling,4/4/1997,1997,Universal,Romantic Comedy,"$16,408,534","3,574,844"
98,Fire Down Below,9/5/1997,1997,Warner Bros.,Action,"$16,148,906","3,518,280"
99,Wes Craven's Wishmaster,9/19/1997,1997,Live Entertainment,Horror,"$15,719,109","3,424,642"
100,Mr. Magoo,12/25/1997,1997,Walt Disney,Comedy,"$15,671,371","3,414,242"
101,Rocket Man,10/10/1997,1997,Walt Disney,Comedy,"$15,448,043","3,365,586"
102,The Sixth Man,3/28/1997,1997,Walt Disney,Comedy,"$14,765,099","3,216,797"
103,Jackie Chan's First Strike,1/10/1997,1997,New Line,Action,"$14,601,662","3,181,189"
104,In Love and War,12/18/1996,1997,New Line,Drama,"$14,462,242","3,150,815"
105,101 Dalmatians,11/27/1996,1997,Walt Disney,Adventure,"$14,393,536","3,135,846"
106,The Postman,12/25/1997,1997,Warner Bros.,Action,"$14,384,941","3,133,974"
107,Excess Baggage,8/29/1997,1997,Sony Pictures,Comedy,"$14,351,432","3,126,673"
108,Fairytale: A True Story,10/24/1997,1997,Paramount Pictures,Drama,"$14,014,656","3,053,301"
109,Def Jam's How To Be a Player,8/6/1997,1997,Gramercy,Comedy,"$14,010,363","3,052,366"
110,One Fine Day,12/20/1996,1997,20th Century Fox,Romantic Comedy,"$13,865,615","3,020,831"
111,The Man Who Knew Too Little,11/14/1997,1997,Warner Bros.,Comedy,"$13,678,426","2,980,049"
112,Trial And Error,5/30/1997,1997,New Line,Comedy,"$13,602,831","2,963,579"
113,Eve's Bayou,11/7/1997,1997,Trimark,Drama,"$13,497,086","2,940,541"
114,Rosewood,2/21/1997,1997,Warner Bros.,Drama,"$13,104,494","2,855,009"
115,Love Jones,3/14/1997,1997,New Line,Drama,"$12,554,569","2,735,200"
116,Marvin's Room,12/20/1996,1997,Miramax,Drama,"$12,510,768","2,725,657"
117,Gattaca,10/24/1997,1997,Sony Pictures,Drama,"$12,468,416","2,716,430"
118,Chasing Amy,4/4/1997,1997,Miramax,Romantic Comedy,"$12,006,514","2,615,798"
119,Turbulence,1/10/1997,1997,MGM,Thriller/Suspense,"$11,532,774","2,512,586"
120,The Beautician and the Beast,2/7/1997,1997,Paramount Pictures,Romantic Comedy,"$11,486,880","2,502,588"
121,Das Boot (1982) (Re-Release),4/4/1997,1997,Sony Pictures,Drama,"$11,397,741","2,483,167"
122,Double Team,4/4/1997,1997,Sony Pictures,Action,"$11,328,565","2,468,096"
123,Leave It To Beaver,8/22/1997,1997,Universal,Comedy,"$11,307,615","2,463,532"
124,Mad City,11/7/1997,1997,Warner Bros.,Thriller/Suspense,"$10,523,865","2,292,781"
125,Operation Condor,7/18/1997,1997,Miramax,Action,"$10,461,161","2,279,120"
126,Buddy,6/6/1997,1997,Sony Pictures,Comedy,"$10,067,104","2,193,268"
127,Night Falls On Manhattan,5/16/1997,1997,Paramount Pictures,Drama,"$9,889,670","2,154,612"
128,Shall We Dance?,7/11/1997,1997,Miramax,Romantic Comedy,"$9,517,621","2,073,555"
129,Everyone Says I Love You,12/6/1996,1997,Miramax,Musical,"$9,441,360","2,056,941"
130,The Preacher’s Wife,12/13/1996,1997,Walt Disney,Drama,"$9,437,882","2,056,183"
131,Fierce Creatures,1/24/1997,1997,Universal,Comedy,"$9,254,184","2,016,162"
132,The Wings of the Dove,11/7/1997,1997,Miramax,Drama,"$9,176,835","1,999,310"
133,Beavis and Butt-Head Do Ame…,12/20/1996,1997,Paramount Pictures,Comedy,"$8,921,390","1,943,657"
134,Ulee's Gold,6/13/1997,1997,Orion Pictures,Drama,"$8,637,027","1,881,705"
135,Mrs. Brown,7/18/1997,1997,Miramax,Drama,"$8,451,663","1,841,320"
136,Turbo: A Power Rangers Movie,3/28/1997,1997,20th Century Fox,Action,"$8,363,899","1,822,200"
137,A Simple Wish,7/11/1997,1997,Universal,Comedy,"$8,165,213","1,778,913"
138,A Thousand Acres,9/19/1997,1997,Walt Disney,Drama,"$7,928,412","1,727,322"
139,Good Will Hunting,12/5/1997,1997,Miramax,Drama,"$7,604,641","1,656,784"
140,Sprung,5/14/1997,1997,Trimark,Romantic Comedy,"$7,553,105","1,645,556"
141,The Ice Storm,9/26/1997,1997,Fox Searchlight,Drama,"$7,438,480","1,620,583"
142,Wild America,7/2/1997,1997,Warner Bros.,Adventure,"$7,365,417","1,604,666"
143,Ransom,11/8/1996,1997,Walt Disney,Action,"$7,311,075","1,592,826"
144,She's So Lovely,8/29/1997,1997,Miramax,Drama,"$7,281,450","1,586,372"
145,Ghosts of Mississippi,12/20/1996,1997,Sony Pictures,Drama,"$7,269,988","1,583,875"
146,B*A*P*S,3/28/1997,1997,New Line,Comedy,"$7,246,735","1,578,809"
147,Zeus and Roxanne,1/24/1997,1997,MGM,Adventure,"$7,233,324","1,575,887"
148,Secrets & Lies,9/28/1996,1997,October Films,Drama,"$7,180,054","1,564,281"
149,U-Turn,10/3/1997,1997,Sony Pictures,Drama,"$6,645,225","1,447,761"
150,Switchback,10/31/1997,1997,Paramount Pictures,Thriller/Suspense,"$6,504,442","1,417,089"
151,Warriors of Virtue,5/2/1997,1997,MGM,Action,"$6,448,817","1,404,971"
152,Most Wanted,10/10/1997,1997,New Line,Action,"$6,343,015","1,381,920"
153,Kull The Conqueror,8/29/1997,1997,Universal,Action,"$6,086,891","1,326,120"
154,Inventing the Abbotts,4/4/1997,1997,20th Century Fox,Drama,"$5,926,128","1,291,095"
155,Gang Related,10/8/1997,1997,MGM,Action,"$5,906,773","1,286,878"
156,Kolya,1/24/1997,1997,Miramax,Comedy,"$5,770,254","1,257,135"
157,One Eight Seven,7/30/1997,1997,Warner Bros.,Thriller/Suspense,"$5,747,802","1,252,244"
158,Gridlock'd,1/29/1997,1997,Gramercy,Black Comedy,"$5,573,929","1,214,363"
159,Dangerous Ground,2/12/1997,1997,New Line,Thriller/Suspense,"$5,102,151","1,111,579"
160,Deconstructing Harry,12/12/1997,1997,Fine Line,Romantic Comedy,"$5,022,710","1,094,272"
161,Space Jam,11/15/1996,1997,Warner Bros.,Adventure,"$5,021,238","1,093,951"
162,Across The Sea of Time,10/20/1995,1997,Sony Pictures Cla…,Adventure,"$4,866,837","1,060,313"
163,McHale's Navy,4/18/1997,1997,Universal,Comedy,"$4,408,420","960,440"
164,My Fellow Americans,12/20/1996,1997,Warner Bros.,Comedy,"$4,289,747","934,585"
165,A Life Less Ordinary,10/24/1997,1997,20th Century Fox,Comedy,"$4,287,595","934,116"
166,Playing God,10/17/1997,1997,Walt Disney,Thriller/Suspense,"$4,166,918","907,825"
167,Kama Sutra,2/28/1997,1997,Trimark,Drama,"$4,109,095","895,227"
168,Meet Wally Sparks,1/31/1997,1997,Trimark,Comedy,"$4,073,582","887,490"
169,Hamlet,12/25/1996,1997,Sony Pictures,Drama,"$4,069,672","886,638"
170,Mars Attacks!,12/13/1996,1997,Warner Bros.,Black Comedy,"$3,974,446","865,892"
171,Lost Highway,2/21/1997,1997,October Films,Thriller/Suspense,"$3,796,699","827,167"
172,Daylight,12/6/1996,1997,Universal,Action,"$3,751,635","817,349"
173,8 Heads in a Duffel Bag,4/18/1997,1997,Orion Pictures,Black Comedy,"$3,602,884","784,942"
174,Cats Don't Dance,3/26/1997,1997,Warner Bros.,Musical,"$3,588,602","781,830"
175,The Pest,2/7/1997,1997,Sony/TriStar,Black Comedy,"$3,533,790","769,888"
176,Til There Was You,5/30/1997,1997,Paramount Pictures,Romantic Comedy,"$3,525,125","768,001"
177,Free Willy 3: The Rescue,8/8/1997,1997,Warner Bros.,Adventure,"$3,519,178","766,705"
178,The MatchMaker,10/3/1997,1997,Gramercy,Romantic Comedy,"$3,398,083","740,323"
179,Jingle All the Way,11/22/1996,1997,20th Century Fox,Comedy,"$3,378,865","736,136"
180,The Portrait of a Lady,12/24/1996,1997,Gramercy,Drama,"$3,328,809","725,230"
181,A Smile Like Yours,8/22/1997,1997,Paramount Pictures,Romantic Comedy,"$3,317,930","722,860"
182,Love! Valour! Compassion!,5/16/1997,1997,New Line,Drama,"$2,936,611","639,784"
183,Waiting for Guffman,1/31/1997,1997,Sony Pictures Cla…,Comedy,"$2,922,988","636,816"
184,In the Company of Men,8/1/1997,1997,Sony Pictures Cla…,Black Comedy,"$2,883,661","628,248"
185,Dirty Dancing (1987) (Re-Re…,8/22/1997,1997,Vestron,Drama,"$2,868,135","624,866"
186,Star Trek: First Contact,11/22/1996,1997,Paramount Pictures,Adventure,"$2,840,174","618,774"
187,Breaking the Waves,11/13/1996,1997,October Films,Drama,"$2,712,685","590,998"
188,The Crucible,11/29/1996,1997,20th Century Fox,Drama,"$2,687,616","585,537"
189,When We Were Kings,10/25/1996,1997,Gramercy,Documentary,"$2,666,118","580,853"
190,One Night Stand,11/14/1997,1997,New Line,Drama,"$2,642,718","575,755"
191,The Evening Star,12/25/1996,1997,Paramount Pictures,Drama,"$2,617,435","570,247"
192,Brassed Off,5/23/1997,1997,Miramax,Comedy,"$2,589,188","564,093"
193,Thrill Ride: The Science of…,7/11/1997,1997,Sony Pictures Cla…,Documentary,"$2,570,742","560,074"
194,Career Girls,8/8/1997,1997,October Films,Comedy,"$2,506,039","545,977"
195,Crash,10/4/1996,1997,Fine Line,Thriller/Suspense,"$2,430,321","529,481"
196,The Pillow Book,6/6/1997,1997,Lionsgate,Drama,"$2,372,744","516,937"
197,Snowriders 2,10/15/1997,1997,Warren Miller Ent…,Documentary,"$2,287,639","498,396"
198,Smilla's Sense of Snow,2/28/1997,1997,Fox Searchlight,Thriller/Suspense,"$2,221,994","484,094"
199,Shadow Conspiracy,1/31/1997,1997,Walt Disney,Thriller/Suspense,"$2,154,540","469,398"
200,The Daytrippers,3/5/1997,1997,Lionsgate,Romantic Comedy,"$2,096,256","456,700"
1,Titanic,12/19/1997,1998,Paramount Pictures,Drama,"$488,192,879","104,092,298"
2,Armageddon,7/1/1998,1998,Walt Disney,Adventure,"$201,578,182","42,980,422"
3,Saving Private Ryan,7/24/1998,1998,Dreamworks SKG,Drama,"$190,588,778","40,637,266"
4,There's Something About Mary,7/15/1998,1998,20th Century Fox,Romantic Comedy,"$174,711,965","37,252,018"
5,The Waterboy,11/6/1998,1998,Walt Disney,Comedy,"$150,042,308","31,991,963"
6,Doctor Dolittle,6/26/1998,1998,20th Century Fox,Comedy,"$144,155,259","30,736,728"
7,Deep Impact,5/8/1998,1998,Paramount Pictures,Adventure,"$140,464,664","29,949,821"
8,Rush Hour,9/18/1998,1998,New Line,Action,"$137,567,454","29,332,079"
9,A Bug’s Life,11/20/1998,1998,Walt Disney,Adventure,"$136,426,334","29,088,770"
10,Godzilla,5/19/1998,1998,Sony Pictures,Action,"$136,314,294","29,064,881"
11,Good Will Hunting,12/5/1997,1998,Miramax,Drama,"$130,828,794","27,895,265"
12,Lethal Weapon 4,7/10/1998,1998,Warner Bros.,Action,"$130,444,603","27,813,348"
13,The Truman Show,6/5/1998,1998,Paramount Pictures,Drama,"$125,618,201","26,784,264"
14,Mulan,6/19/1998,1998,Walt Disney,Adventure,"$120,620,254","25,718,604"
15,As Good as it Gets,12/24/1997,1998,Sony Pictures,Romantic Comedy,"$106,914,817","22,796,336"
16,Enemy of the State,11/20/1998,1998,Walt Disney,Action,"$96,822,391","20,644,433"
17,The Mask of Zorro,7/17/1998,1998,Sony Pictures,Adventure,"$93,828,745","20,006,128"
18,Antz,10/2/1998,1998,Dreamworks SKG,Adventure,"$89,325,670","19,045,985"
19,The Rugrats Movie,11/20/1998,1998,Paramount Pictures,Adventure,"$89,186,192","19,016,245"
20,The X Files: Fight the Future,6/19/1998,1998,20th Century Fox,Action,"$83,898,313","17,888,766"
21,The Wedding Singer,2/13/1998,1998,New Line,Romantic Comedy,"$80,245,725","17,109,962"
22,City of Angels,4/10/1998,1998,Warner Bros.,Drama,"$78,750,909","16,791,238"
23,You’ve Got Mail,12/18/1998,1998,Warner Bros.,Romantic Comedy,"$78,028,953","16,637,303"
24,The Horse Whisperer,5/15/1998,1998,Walt Disney,Drama,"$75,383,563","16,073,254"
25,"Six Days, Seven Nights",6/12/1998,1998,Walt Disney,Romantic Comedy,"$74,339,294","15,850,595"
26,Blade,8/21/1998,1998,New Line,Action,"$70,141,876","14,955,623"
27,Lost In Space,4/3/1998,1998,New Line,Adventure,"$69,117,629","14,737,234"
28,A Perfect Murder,6/5/1998,1998,Warner Bros.,Thriller/Suspense,"$67,658,331","14,426,083"
29,Everest,3/6/1998,1998,MacGillivray Free…,Documentary,"$66,877,098","14,259,509"
30,The Prince of Egypt,12/18/1998,1998,Dreamworks SKG,Adventure,"$66,546,531","14,189,025"
31,The Parent Trap,7/29/1998,1998,Walt Disney,Comedy,"$66,308,518","14,138,276"
32,Ever After: A Cinderella Story,7/31/1998,1998,20th Century Fox,Drama,"$65,676,965","14,003,617"
33,Patch Adams,12/25/1998,1998,Universal,Comedy,"$65,495,000","13,964,818"
34,Hope Floats,5/29/1998,1998,20th Century Fox,Drama,"$60,110,313","12,816,697"
35,Star Trek: Insurrection,12/11/1998,1998,Paramount Pictures,Adventure,"$58,654,186","12,506,223"
36,U.S. Marshals,3/6/1998,1998,Warner Bros.,Thriller/Suspense,"$57,833,603","12,331,258"
37,The Man in the Iron Mask,3/13/1998,1998,MGM,Adventure,"$56,968,169","12,146,731"
38,Snake Eyes,8/7/1998,1998,Paramount Pictures,Thriller/Suspense,"$55,591,409","11,853,178"
39,What Dreams May Come,10/2/1998,1998,Polygram,Drama,"$55,485,043","11,830,499"
40,Small Soldiers,7/10/1998,1998,Dreamworks SKG,Adventure,"$55,143,823","11,757,744"
41,Halloween: H2O,8/5/1998,1998,Miramax,Horror,"$55,041,738","11,735,978"
42,Stepmom,12/25/1998,1998,Sony/TriStar,Drama,"$50,124,835","10,687,598"
43,Practical Magic,10/16/1998,1998,Warner Bros.,Comedy,"$46,850,558","9,989,457"
44,The Negotiator,7/29/1998,1998,Warner Bros.,Action,"$44,705,766","9,532,146"
45,Meet Joe Black,11/13/1998,1998,Universal,Drama,"$43,585,738","9,293,334"
46,Wag the Dog,12/25/1997,1998,New Line,Drama,"$41,595,360","8,868,946"
47,Ronin,9/25/1998,1998,MGM,Action,"$41,522,392","8,853,388"
48,The Siege,11/6/1998,1998,20th Century Fox,Action,"$40,165,607","8,564,095"
49,I Still Know What You Did L…,11/13/1998,1998,Sony Pictures,Horror,"$39,199,514","8,358,105"
50,Primary Colors,3/20/1998,1998,Universal,Comedy,"$39,017,984","8,319,399"
51,Pleasantville,10/23/1998,1998,New Line,Comedy,"$38,884,514","8,290,941"
52,Urban Legend,9/25/1998,1998,Sony Pictures,Horror,"$37,925,412","8,086,441"
53,How Stella Got Her Groove Back,8/14/1998,1998,20th Century Fox,Drama,"$37,669,623","8,031,902"
54,Out of Sight,6/26/1998,1998,Universal,Comedy,"$37,562,568","8,009,076"
55,Sphere,2/13/1998,1998,Warner Bros.,Thriller/Suspense,"$37,068,294","7,903,687"
56,Mercury Rising,4/3/1998,1998,Universal,Thriller/Suspense,"$32,983,332","7,032,693"
57,Tomorrow Never Dies,12/19/1997,1998,MGM,Action,"$32,871,122","7,008,768"
58,Bride of Chucky,10/16/1998,1998,Universal,Horror,"$32,404,188","6,909,208"
59,Jack Frost,12/11/1998,1998,Warner Bros.,Comedy,"$31,253,389","6,663,835"
60,A Night at the Roxbury,10/2/1998,1998,Paramount Pictures,Comedy,"$30,331,165","6,467,199"
61,Madeline,7/10/1998,1998,Sony Pictures,Adventure,"$29,858,048","6,366,321"
62,Wild Things,3/20/1998,1998,Sony Pictures,Thriller/Suspense,"$29,795,299","6,352,942"
63,Spice World,1/23/1998,1998,Sony Pictures,Comedy,"$29,342,592","6,256,416"
64,The Object of my Affection,4/17/1998,1998,20th Century Fox,Romantic Comedy,"$29,145,924","6,214,482"
65,Grease,3/27/1998,1998,Paramount Pictures,Musical,"$28,350,476","6,044,877"
66,Mighty Joe Young,12/25/1998,1998,Walt Disney,Adventure,"$28,152,133","6,002,586"
67,Paulie,4/17/1998,1998,Dreamworks SKG,Comedy,"$27,084,499","5,774,946"
68,The Big Hit,4/24/1998,1998,Sony Pictures,Action,"$27,066,941","5,771,202"
69,Bulworth,5/15/1998,1998,20th Century Fox,Comedy,"$26,528,684","5,656,435"
70,Great Expectations,1/30/1998,1998,20th Century Fox,Drama,"$26,333,044","5,614,721"
71,L.A. Confidential,9/19/1997,1998,Warner Bros.,Drama,"$26,308,657","5,609,521"
72,The Faculty,12/25/1998,1998,Miramax,Horror,"$26,113,366","5,567,881"
73,Can't Hardly Wait,6/12/1998,1998,Sony Pictures,Romantic Comedy,"$25,358,996","5,407,035"
74,Fallen,1/16/1998,1998,Warner Bros.,Thriller/Suspense,"$25,310,938","5,396,788"
75,The Avengers,8/14/1998,1998,Warner Bros.,Adventure,"$23,385,416","4,986,229"
76,One True Thing,9/18/1998,1998,Universal,Drama,"$23,337,196","4,975,947"
77,The Players Club,4/8/1998,1998,New Line,Black Comedy,"$23,047,939","4,914,272"
78,Rounders,9/11/1998,1998,Miramax,Drama,"$22,921,898","4,887,398"
79,Quest for Camelot,5/15/1998,1998,Warner Bros.,Adventure,"$22,772,500","4,855,543"
80,Beloved,10/16/1998,1998,Walt Disney,Horror,"$22,755,961","4,852,017"
81,The Borrowers,2/13/1998,1998,Polygram,Adventure,"$22,619,589","4,822,940"
82,Mouse Hunt,12/19/1997,1998,Dreamworks SKG,Comedy,"$21,812,687","4,650,892"
83,He Got Game,5/1/1998,1998,Walt Disney,Drama,"$21,567,853","4,598,689"
84,Psycho,12/4/1998,1998,Universal,Horror,"$20,937,263","4,464,235"
85,The Apostle,12/17/1997,1998,October Films,Drama,"$20,692,516","4,412,050"
86,Vampires,10/30/1998,1998,Sony Pictures,Horror,"$19,942,448","4,252,121"
87,Hard Rain,1/16/1998,1998,Paramount Pictures,Action,"$19,870,567","4,236,794"
88,Jane Austen's Mafia,7/24/1998,1998,Walt Disney,Comedy,"$19,843,795","4,231,086"
89,Species 2,4/10/1998,1998,MGM,Horror,"$19,217,565","4,097,561"
90,The Replacement Killers,2/6/1998,1998,Sony Pictures,Action,"$19,035,741","4,058,793"
91,The Odd Couple II,4/10/1998,1998,Paramount Pictures,Comedy,"$18,912,328","4,032,479"
92,Simon Birch,9/11/1998,1998,Walt Disney,Drama,"$18,253,415","3,891,986"
93,Disturbing Behavior,7/24/1998,1998,MGM,Thriller/Suspense,"$17,507,368","3,732,914"
94,Amistad,12/12/1997,1998,Dreamworks SKG,Drama,"$17,461,267","3,723,084"
95,The Big Lebowski,3/6/1998,1998,Gramercy,Comedy,"$17,451,873","3,721,081"
96,Half Baked,1/16/1998,1998,Universal,Comedy,"$17,394,881","3,708,929"
97,54,8/28/1998,1998,Miramax,Drama,"$16,757,163","3,572,955"
98,Elizabeth,11/6/1998,1998,Gramercy,Drama,"$16,580,089","3,535,200"
99,Babe: Pig in the City,11/25/1998,1998,Universal,Adventure,"$16,134,070","3,440,100"
100,Dance With Me,8/21/1998,1998,Sony Pictures,Drama,"$15,923,354","3,395,171"
101,Scream 2,12/12/1997,1998,Miramax,Horror,"$15,842,332","3,377,895"
102,Dead Man on Campus,8/21/1998,1998,Paramount Pictures,Black Comedy,"$15,064,948","3,212,142"
103,Twilight,3/6/1998,1998,Paramount Pictures,Thriller/Suspense,"$15,055,091","3,210,040"
104,The Wizard of Oz,8/25/1939,1998,Warner Bros.,Musical,"$14,792,232","3,153,994"
105,Soldier,10/23/1998,1998,Warner Bros.,Action,"$14,623,082","3,117,927"
106,Dark City,2/27/1998,1998,New Line,Thriller/Suspense,"$14,435,076","3,077,841"
107,Blues Brothers 2000,2/6/1998,1998,Universal,Comedy,"$14,089,198","3,004,093"
108,Les Miserables,5/1/1998,1998,Sony Pictures,Drama,"$13,887,945","2,961,182"
109,Desperate Measures,1/30/1998,1998,Sony Pictures,Action,"$13,678,274","2,916,476"
110,Hush,3/6/1998,1998,Sony Pictures,Thriller/Suspense,"$13,587,246","2,897,067"
111,Senseless,2/20/1998,1998,Miramax,Comedy,"$13,109,234","2,795,145"
112,Black Dog,5/1/1998,1998,Universal,Action,"$12,857,351","2,741,439"
113,Mr. Nice Guy,3/20/1998,1998,New Line,Action,"$12,716,953","2,711,503"
114,Living Out Loud,10/30/1998,1998,New Line,Drama,"$12,654,505","2,698,188"
115,Why Do Fools Fall In Love?,8/28/1998,1998,Warner Bros.,Drama,"$12,506,676","2,666,668"
116,Jackie Brown,12/25/1997,1998,Miramax,Drama,"$12,482,712","2,661,559"
117,I'll Be Home For Christmas,11/13/1998,1998,Walt Disney,Comedy,"$12,122,246","2,584,700"
118,Holy Man,10/9/1998,1998,Walt Disney,Comedy,"$12,069,719","2,573,500"
119,Sliding Doors,4/24/1998,1998,Miramax,Drama,"$11,911,200","2,539,701"
120,Life Is Beautiful,10/23/1998,1998,Miramax,Drama,"$11,409,840","2,432,801"
121,Deep Rising,1/30/1998,1998,Walt Disney,Action,"$11,203,026","2,388,704"
122,Barney's Great Adventure,4/3/1998,1998,Polygram,Adventure,"$11,156,471","2,378,778"
123,Fear and Loathing in Las Vegas,5/22/1998,1998,Universal,Black Comedy,"$10,680,275","2,277,244"
124,The Full Monty,8/13/1997,1998,Fox Searchlight,Comedy,"$10,518,729","2,242,799"
125,The Newton Boys,3/27/1998,1998,20th Century Fox,Drama,"$10,341,093","2,204,923"
126,Knock Off,9/4/1998,1998,Sony Pictures,Action,"$10,319,915","2,200,408"
127,I Got the Hook-Up!,5/27/1998,1998,Miramax,Comedy,"$10,317,779","2,199,952"
128,Home Fries,11/25/1998,1998,Warner Bros.,Black Comedy,"$10,166,403","2,167,676"
129,The Spanish Prisoner,4/3/1998,1998,Sony Pictures Cla…,Thriller/Suspense,"$10,162,034","2,166,744"
130,Air Bud: Golden Receiver,8/14/1998,1998,Miramax,Comedy,"$10,093,523","2,152,137"
131,Dirty Work,6/12/1998,1998,MGM,Black Comedy,"$10,020,081","2,136,477"
132,Very Bad Things,11/25/1998,1998,Polygram,Black Comedy,"$9,949,470","2,121,422"
133,Flubber,11/26/1997,1998,Walt Disney,Comedy,"$9,859,711","2,102,283"
134,Wrongfully Accused,8/21/1998,1998,Warner Bros.,Comedy,"$9,642,860","2,056,046"
135,Belly,11/4/1998,1998,Artisan,Drama,"$9,514,267","2,028,628"
136,Shakespeare in Love,12/11/1998,1998,Miramax,Romantic Comedy,"$9,488,472","2,023,128"
137,Thrill Ride: The Science of…,7/11/1997,1998,Sony Pictures Cla…,Documentary,"$9,124,115","1,945,440"
138,Apt Pupil,10/23/1998,1998,Sony/TriStar,Thriller/Suspense,"$8,863,193","1,889,806"
139,Jerry Springer: Ringmaster,11/25/1998,1998,Artisan,Black Comedy,"$8,761,922","1,868,213"
140,Return to Paradise,8/14/1998,1998,Universal,Drama,"$8,352,677","1,780,954"
141,Firestorm,1/9/1998,1998,20th Century Fox,Action,"$8,123,860","1,732,166"
142,Woo,5/8/1998,1998,New Line,Romantic Comedy,"$8,064,972","1,719,610"
143,My Giant,4/10/1998,1998,Sony Pictures,Comedy,"$7,985,929","1,702,756"
144,Krippendorf's Tribe,2/27/1998,1998,Walt Disney,Comedy,"$7,571,115","1,614,310"
145,For Richer or Poorer,12/12/1997,1998,Universal,Comedy,"$7,157,310","1,526,078"
146,BASEketball,7/31/1998,1998,Universal,Comedy,"$7,042,541","1,501,607"
147,Star Kid,1/16/1998,1998,Trimark,Adventure,"$7,015,240","1,495,786"
