Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
The English Patient,"US, GB",1996,Anthony Minghella,16 696 435,17 296 944
101 Dalmatians,US,1996,Stephen Herek,16 161 911,21 623 260
Hercules,US,1997,"Ron Clements, John Musker",15 544 985,18 597 297
Space Jam,US,1996,Joe Pytka,14 805 491,15 249 396
Ransom,US,1996,Ron Howard,14 299 323,14 898 600
Tomorrow Never Dies,"GBinc, US",1997,Roger Spottiswoode,14 056 516,21 356 195
My Best Friend's Wedding,US,1997,P.J. Hogan,12 974 239,17 340 607
Liar Liar,US,1997,Tom Shadyac,12 393 533,12 423 043
Star Wars,US,1977,George Lucas,12 206 663,12 225 275
Con Air,US,1997,Simon West,9 955 422,9 994 567
Batman & Robin,US,1997,Joel Schumacher,9 493 010,9 516 805
Air Force One,US,1997,Wolfgang Petersen,9 404 772,9 496 950
Romeo + Juliet,US,1996,Baz Luhrmann,9 346 045,9 975 393
Face/Off,US,1997,John Woo,9 299 909,9 852 678
Evita,"US, GB",1996,Alan Parker,9 032 601,13 420 144
Scream,US,1996,Wes Craven,8 610 605,9 289 219
Alien: Resurrection,US,1997,Jean-Pierre Jeunet,8 382 615,10 985 527
Jerry Maguire,US,1996,Cameron Crowe,8 240 709,8 244 109
Dante's Peak,US,1997,Roger Donaldson,7 733 369,7 739 709
Speed 2: Cruise Control,US,1997,Jan de Bont,7 431 871,7 452 436
Mars Attacks!,US,1996,Tim Burton,7 421 828,7 442 643
The Devil's Own,US,1997,Alan J. Pakula,7 341 369,7 346 877
Sleepers,US,1996,Barry Levinson,7 107 875,12 130 968
Seven Years in Tibet,US,1997,Jean-Jacques Annaud,6 885 995,12 232 994
Star Wars: Episode V - The Empire Strikes Back,US,1980,Irvin Kershner,6 284 500,7 267 905
Contact,US,1997,Robert Zemeckis,5 919 198,6 012 150
The First Wives Club,US,1996,Hugh Wilson,5 811 045,8 824 849
The Peacemaker,US,1997,Mimi Leder,5 744 457,5 885 450
One Fine Day,US,1996,Michael Hoffman,5 503 369,5 506 869
Conspiracy Theory,US,1997,Richard Donner,5 139 495,5 471 965
The Hunchback of Notre Dame,US,1996,"Gary Trousdale, Kirk Wise",5 069 035,24 660 478
The Saint,US,1997,Phillip Noyce,5 068 718,5 075 952
La vérité si je mens,FR,1997,Thomas Gilou,4 990 624,5 076 952
Star Wars: Episode VI - Return of the Jedi,US,1983,Richard Marquand,4 865 492,4 960 735
Il ciclone,IT,1996,Leonardo Pieraccioni,4 785 626,5 599 149
Fuochi d'artificio,IT,1997,Leonardo Pieraccioni,4 691 774,4 823 621
Volcano,US,1997,Mick Jackson,4 678 535,4 873 193
Shine,AU,1996,Scott Hicks,4 608 538,4 723 196
Anaconda,US,1997,Luis Llosa,4 504 041,4 533 472
George of the Jungle,US,1997,Sam Weisman,4 487 078,7 385 892
The Game,US,1997,David Fincher,4 447 541,6 071 781
L.A. Confidential,US,1997,Curtis Hanson,4 141 360,5 857 504
Le pari,FR,1997,"Didier Bourdon, Bernard Campan",4 023 707,4 207 443
Lady and The Tramp,US,1955,"Clyde Geronimi, Jack Cutting, Wilfred Jackson, Hamilton Luske",4 018 968,4 144 003
Absolute Power,US,1997,Clint Eastwood,3 964 388,3 966 726
Donnie Brasco,US,1997,Mike Newell,3 909 409,3 977 081
Everyone Says I Love You,US,1996,Woody Allen,3 889 495,3 939 834
Metro,US,1997,Thomas Carter,3 855 242,4 123 940
Daylight,US,1996,Rob Cohen,3 763 016,7 372 634
Spice World,GB,1997,Bob Spiers,3 729 083,6 269 456
Fierce Creatures,"US, GB",1997,"Fred Schepisi, Robert Young",3 703 918,3 706 165
Knockin' on Heaven's Door,DE,1997,Thomas Jahn,3 661 377,3 882 531
Rossini,DE,1997,Helmut Dietl,3 443 206,3 461 194
Kleines Arschloch,DE,1997,"Michael Schaack, Veit Vollmer",3 394 075,3 394 626
Didier,FR,1997,Alain Chabat,3 046 117,3 055 627
The Mirror Has Two Faces,US,1996,Barbra Streisand,2 979 569,2 983 967
Smilla's Sense of Snow,"DE, SE, DK",1997,Bille August,2 925 015,2 959 038
The Ghost and the Darkness,US,1996,Stephen Hopkins,2 868 957,3 263 597
The Relic,US,1997,Peter Hyams,2 810 509,2 810 710
G.I. Jane,US,1997,Ridley Scott,2 739 121,4 960 271
Microcosmos : le peuple de l'herbe,"FR, IT, CH",1996,"Claude Nuridsany, Marie Pérennou",2 690 920,5 877 305
Addicted to Love,US,1997,Griffin Dunne,2 653 107,2 660 004
The People vs. Larry Flynt,US,1996,Milos Forman,2 623 203,2 625 767
The Borrowers,"GBinc, US",1997,Peter Hewitt,2 506 496,4 052 029
Double Team,US,1997,Hark Tsui,2 501 830,2 737 553
Ballermann 6,"DE, IT",1997,"Tom Gerhardt, Gernot Roll",2 482 304,2 494 971
Home Alone 3,US,1997,Raja Gosnell,2 447 850,3 960 014
Eskiya,"TR, FR, BG",1996,Yavuz Turgul,2 397 189,2 828 604
Carne trémula,"ES, FR",1997,Pedro Almodóvar,2 175 746,3 095 535
Kolya,"CZ, FR, GB",1996,Jan Sverák,2 117 231,3 037 806
Airbag,"ES, DE, PT",1997,Juanma Bajo Ulloa,2 105 521,2 176 309
Cop Land,US,1997,James Mangold,2 104 527,3 073 174
Maximum Risk,US,1996,Ringo Lam,2 086 007,2 122 795
Jungle 2 Jungle,US,1997,John Pasquin,2 051 098,2 112 597
Star Trek: First contact,US,1996,Jonathan Frakes,1 997 973,5 827 241
La vita è bella,IT,1997,Roberto Benigni,1 929 006,20 360 681
Michael,US,1996,Nora Ephron,1 918 409,1 918 868
Fly Away Home,US,1996,Carroll Ballard,1 834 857,1 909 628
Nothing to Lose,US,1997,Steve Oedekerk,1 798 893,3 333 437
Lucie Aubrac,FR,1997,Claude Berri,1 754 331,1 873 718
Spawn,US,1997,Mark A.Z. Dippé,1 747 412,2 161 839
Jingle All The Way,US,1996,Brian Levant,1 726 363,6 887 853
Le bossu,"FR, DE, IT",1997,Philippe de Broca,1 723 563,2 711 886
Jenseits der Stille,DE,1996,Caroline Link,1 706 998,1 994 939
On connaît la chanson,"FR, CH, IT",1997,Alain Resnais,1 692 302,3 297 034
High School High,US,1996,Hart Bochner,1 664 436,2 305 662
Kiler,PL,1997,Juliusz Machulski,1 627 524,1 627 524
Breakdown,US,1997,Jonathan Mostow,1 625 147,2 648 210
Die Apothekerin,DE,1997,Rainer Kaufmann,1 584 737,1 647 039
A Life Less Ordinary,"GB, US",1997,Danny Boyle,1 563 984,2 355 659
Austin Powers: International Man of Mystery,US,1997,Jay Roach,1 539 367,1 661 514
Les randonneurs,FR,1997,Philippe Harel,1 516 448,1 540 573
Extreme Measures,US,1996,Michael Apted,1 413 365,1 777 929
Lost Highway,"US, FR",1997,David Lynch,1 363 020,1 513 847
Murder at 1600,US,1997,Dwight H. Little,1 307 052,1 565 881
Marius et Jeannette,FR,1997,Robert Guédiguian,1 306 264,3 161 486
Nirvana,"IT, FR",1997,Gabriele Salvatores,1 303 297,1 493 151
Marvin's Room,US,1996,Jerry Zaks,1 235 374,1 799 213
Michael Collins,"US, IE",1996,Neil Jordan,1 205 945,3 807 951
Turbulence,US,1997,Robert Butler,1 201 287,1 209 267
The Crucible,US,1996,Nicholas Hytner,1 193 618,1 195 787
Matilda,US,1996,Danny DeVito,1 171 789,4 452 605
Shooting Fish,GB,1997,Stefan Schwartz,1 162 633,1 833 164
Event Horizon,GB,1997,Paul W.S. Anderson,1 160 608,2 333 931
Ovosodo,IT,1997,Paolo Virzì,1 157 065,1 185 066
Western,FR,1997,Manuel Poirier,1 155 435,1 332 177
The Glimmer Man,US,1996,John Gray,1 130 532,2 157 529
Fools Rush In,US,1997,Andy Tennant,1 126 342,1 137 498
Mimic,US,1997,Guillermo del Toro,1 094 012,1 981 025
I Know What You Did Last Summer,US,1997,Jim Gillespie,1 076 336,5 870 706
In Love and War,US,1996,Richard Attenborough,1 058 694,1 134 215
Le plus beau métier du monde,FR,1996,Gérard Lauzier,1 052 960,2 443 268
El amor perjudica seriamente la salud,"ES, FR",1996,Manuel Gómez Pereira,1 045 994,1 054 627
Dobermann,FR,1997,Jan Kounen,1 042 872,1 263 761
Hamlet,"US, GB",1997,Kenneth Branagh,1 034 260,1 053 384
Un amour de sorcière,FR,1997,René Manzor,1 015 508,1 040 488
Un air de famille,FR,1996,Cédric Klapisch,1 013 285,2 661 650
In & Out,US,1997,Frank Oz,1 010 412,7 226 692
Secrets & Lies,GB,1996,Mike Leigh, 997 625,4 418 676
Brassed Off!,GB,1996,Mark Herman, 997 391,2 491 185
Ridicule,"FR, DE",1996,Patrice Leconte, 993 171,2 758 828
The Long Kiss Goodnight,US,1996,Renny Harlin, 992 082,3 959 323
Breaking the Waves,"DK, SE, FR, NL",1996,Lars von Trier, 983 269,3 296 246
Bandits,DE,1997,Katja von Garnier, 977 351, 997 764
A spasso nel tempo: l'avventura continua,IT,1997,Carlo Vanzina, 972 436,1 229 658
Tout doit disparaître,FR,1997,Philippe Muyl, 970 281, 970 786
Beverly Hills Ninja,US,1997,Dennis Dugan, 947 749, 970 510
Beavis and Butt-head Do America,US,1996,"Mike Judge, Mike de Seve, Yvette Kaplan, Brian Mulroney", 942 164, 942 164
The Frighteners,"NZ, US",1996,Peter Jackson, 936 959, 944 523
Kama Sutra: A Tale of Love,IN,1997,Mira Nair, 908 603,1 052 269
Mrs. Brown,GB,1997,John Madden, 903 960,1 197 325
One Night Stand,US,1997,Mike Figgis, 901 415, 994 694
Courage Under Fire,US,1996,Edward Zwick, 889 017,2 248 597
The Portrait of a Lady,US,1996,Jane Campion, 867 421,1 753 509
Private Parts,US,1997,Betty Thomas, 858 400, 864 340
Anna Karenina,US,1997,Bernard Rose, 832 685, 839 653
Secretos del corazón,"ES, FR, PT",1997,Montxo Armendáriz, 829 338,1 310 309
The Devil's Advocate,US,1997,Taylor Hackford, 824 037,9 559 093
The Chamber,US,1996,James Foley, 811 448, 811 790
Uomo d'acqua dolce,IT,1996,Antonio Albanese, 800 219, 800 474
Dragonheart,US,1996,Rob Cohen, 798 381,6 025 819
The Preacher's Wife,US,1996,Penny Marshall, 796 402, 796 452
Die Furchtlosen Vier,DE,1997,"Michael Coldewey, Eberhard Junkersdorf, Jürgen Richter", 792 862, 805 553
Wilde,"GB, DE, JP",1997,Brian Gilbert, 787 408,1 232 640
Y'aura t'il de la neige à Noël?,FR,1996,Sandrine Veysset, 782 102,1 082 060
Arlette,FR,1997,Claude Zidi, 762 495, 762 495
Career Girls,GB,1997,Mike Leigh, 738 583, 870 764
Adam & Eva,SE,1997,"Måns Herngren, Hannes Holm", 736 879, 787 130
Last Man Standing,US,1996,Walter Hill, 728 199,2 228 953
Romy and Michele's High School Reunion,US,1997,David Mirkin, 718 665, 724 849
She's So Lovely,"US, FR",1997,Nick Cassavetes, 713 549, 970 166
Kiss the Girls,US,1997,Gary Fleder, 706 645,4 348 250
Lolita,"US, FR",1997,Adrian Lyne, 704 735,1 517 189
Dzieci i ryby,PL,1996,Jacek Bromski, 703 866, 703 866
Jing cha gu shi iv: jian dan ren wu,"HK, US",1996,Stanley Tong, 701 352, 994 264
Trainspotting,GB,1996,Danny Boyle, 695 037,9 253 707
Perdita Durango,"ES, US, MX",1997,Álex de la Iglesia, 684 539, 829 864
Die Story von Monty Spinnerratz,DE,1997,Michael F. Huse, 674 787, 680 466
A spasso nel tempo,IT,1996,Carlo Vanzina, 664 325,2 427 367
Emma,"US, GB",1996,Douglas McGrath, 650 333,2 505 400
Free Willy 3: The Rescue,US,1997,Sam Pillsbury, 636 454,1 066 599
Oesje!,BE,1997,Ludo Cox, 635 493, 635 493
Jack,US,1996,Francis Ford Coppola, 635 466,2 387 859
El perro del hortelano,"ES, PT",1995,Pilar Miró, 634 980, 932 384
Tesis,ES,1996,Alejandro Amenábar, 623 611, 961 187
The Crow: City of Angels,US,1996,Tim Pope, 617 795,1 375 806
Le cousin,FR,1997,Alain Corneau, 615 971, 894 055
Nocne Graffiti,PL,1996,Maciej Dutkiewicz, 604 861, 604 861
Rien ne va plus,FR,1997,Claude Chabrol, 598 008, 814 369
Quatre garçons pleins d'avenir,FR,1997,Jean-Paul Lilienfeld, 577 673, 590 029
Fever Pitch,GB,1996,"David Mickey Evans, David Evans", 575 096, 610 259
Surviving Picasso,US,1996,James Ivory, 567 244, 770 791
La Tregua,"IT, CH, FR, DE",1996,Francesco Rosi, 561 233, 571 235
Szczesliwego Nowego Jorku,PL,1997,Janusz Zaorski, 553 153, 553 153
The Island of Dr. Moreau,US,1996,"John Frankenheimer, Richard Stanley", 549 104,1 219 354
Grosse Pointe Blank,US,1997,George Armitage, 548 750, 558 168
The Adventures of Pinocchio,"US, GB, CZ, DE, FR",1996,Steve Barron, 546 715,3 887 425
Night Falls on Manhattan,US,1997,Sidney Lumet, 540 854, 541 165
Father's Day,US,1997,Ivan Reitman, 539 843, 658 809
That Thing You Do!,US,1996,Tom Hanks, 538 337, 539 236
Napoleon,AU,1995,Mario Andreacchio, 531 853, 803 560
Comedian Harmonists,"DE, AT",1997,Joseph Vilsmaier, 525 520,3 139 983
Al-massir,"EG, FR",1997,"Youssef Chahine, Khairiya A-Mansour", 521 884, 731 432
Le déménagement,FR,1997,Olivier Doran, 519 455, 530 670
Ma vie en rose,"FR, BE, GB, CH",1997,Alain Berliner, 517 526, 656 860
From Dusk till Dawn,US,1996,Robert Rodriguez, 511 078,4 168 340
Looking for Richard,US,1996,Al Pacino, 507 966, 547 983
Marquise,"FR, IT, CH, ES",1996,Véra Belmont, 506 792, 536 938
Inventing the Abbotts,US,1997,Pat O'Connor, 504 505, 513 242
Assassin(s),FR,1997,Mathieu Kassovitz, 502 631, 515 121
James and the Giant Peach,US,1996,Henry Selick, 501 709,2 522 900
Csinibaba,HU,1997,Péter Tímár, 501 519, 506 256
The Associate,US,1996,Donald Petrie, 495 317, 496 398
Das Leben ist eine Baustelle.,DE,1997,Wolfgang Becker, 490 043, 532 382
Abre Los Ojos,"ES, FR, IT",1997,Alejandro Amenábar, 481 010,1 874 637
Titanic,US,1997,James Cameron,103 410 658,112 156 415
Armageddon,US,1998,Michael Bay,25 735 191,26 158 984
Saving Private Ryan,US,1998,Steven Spielberg,21 839 103,23 240 102
There's Something about Mary,US,1998,"Bobby Farrelly, Peter Farrelly",17 405 996,20 541 046
Godzilla,US,1998,Roland Emmerich,16 765 817,16 868 227
As Good As It Gets,US,1997,James L. Brooks,15 997 534,16 030 230
Mulan,US,1998,"Tony Bancroft, Barry Cook",15 662 286,20 090 025
Doctor Dolittle,US,1998,Betty Thomas,15 406 796,15 995 349
Deep Impact,US,1998,Mimi Leder,12 904 756,12 915 370
Lethal Weapon 4,US,1998,Richard Donner,12 895 818,12 929 446
The Horse Whisperer,US,1998,Robert Redford,12 648 027,13 619 809
The Truman Show,US,1998,Peter Weir,11 807 473,13 312 863
The Mask of Zorro,US,1998,Martin Campbell,11 209 090,13 548 800
Flubber,US,1997,Les Mayfield,10 922 140,10 941 235
The Man in the Iron Mask,US,1998,Randall Wallace,10 682 450,10 705 234
The X Files,US,1998,Rob Bowman,9 983 227,10 121 476
The Jackal,"US, FR, GB, DE, JP",1997,Michael Caton-Jones,9 763 709,9 792 424
Anastasia,US,1997,"Don Bluth, Gary Goldman",9 491 221,9 545 816
Le dîner de cons,FR,1998,Francis Veber,9 291 989,10 916 675
Les couloirs du temps: Les visiteurs II,FR,1998,Jean-Marie Poiré,9 184 828,9 246 758
Six Days Seven Nights,US,1998,Ivan Reitman,8 839 433,8 862 253
The Devil's Advocate,US,1997,Taylor Hackford,8 708 971,9 559 093
Good Will Hunting,US,1997,Gus Van Sant,8 555 794,8 745 347
Scream 2,US,1997,Wes Craven,8 368 093,8 729 480
City of Angels,US,1998,Brad Silberling,8 271 916,8 318 763
Tomorrow Never Dies,"GBinc, US",1997,Roger Spottiswoode,7 279 098,21 356 195
The Prince of Egypt,US,1998,"Brenda Chapman, Simon Wells, Steve Hickner",7 064 560,12 518 563
La vita è bella,IT,1997,Roberto Benigni,6 884 467,20 360 681
Taxi,FR,1998,Gérard Pirès,6 805 605,7 776 037
Mouse Hunt,US,1997,Gore Verbinski,6 800 662,6 822 987
Antz,US,1998,"Eric Darnell, Tim Johnson",6 720 072,8 385 572
Starship troopers,US,1997,Paul Verhoeven,6 617 202,6 679 982
The Full Monty,GB,1997,Peter Cattaneo,6 430 449,25 457 688
In & Out,US,1997,Frank Oz,6 214 945,7 226 692
Sliding Doors,"GBinc, US",1998,Peter Howitt,6 147 918,6 403 250
Jackie Brown,US,1997,Quentin Tarantino,5 947 162,6 157 134
Lost in Space,"US, GB",1998,Stephen Hopkins,5 689 644,6 418 550
Seven Years in Tibet,US,1997,Jean-Jacques Annaud,5 329 093,12 232 994
Blade,US,1998,Stephen Norrington,5 202 266,7 059 246
A Perfect Murder,US,1998,Andrew Davis,5 114 805,5 325 995
Enemy of the State,US,1998,Tony Scott,4 690 707,15 373 392
I Know What You Did Last Summer,US,1997,Jim Gillespie,4 688 221,5 870 706
My Best Friend's Wedding,US,1997,P.J. Hogan,4 363 084,17 340 607
Mercury Rising,US,1998,Harold Becker,4 344 449,4 374 808
Wild Things,US,1998,John McNaughton,4 026 605,4 297 236
Out of Sight,US,1998,Steven Soderbergh,3 953 134,4 158 202
The Wedding Singer,US,1998,Frank Coraci,3 910 505,3 918 503
Snake Eyes,US,1998,Brian De Palma,3 813 608,4 027 684
Sphere,US,1998,Barry Levinson,3 808 144,3 809 547
Kiss the Girls,US,1997,Gary Fleder,3 627 302,4 348 250
The Big Lebowski,"US, GB",1998,"Joel Coen, Ethan Coen",3 581 819,3 880 092
The Avengers,US,1998,Jeremiah S. Chechik,3 568 972,3 590 163
Deconstructing Harry,US,1997,Woody Allen,3 496 662,3 596 411
Small Soldiers,US,1998,"Joe Dante, Scott Langteau",3 384 870,3 442 576
U.S. Marshals,US,1998,Stuart Baird,3 221 022,3 224 567
"Lock, Stock and Two Smoking Barrels",GB,1998,Guy Ritchie,3 096 624,3 849 175
Hercules,US,1997,"Ron Clements, John Musker",3 043 354,18 597 297
George of the Jungle,US,1997,Sam Weisman,2 884 397,7 385 892
The Little Mermaid,US,1989,"John Musker, Ron Clements",2 864 911,2 921 290
"Torrente, el brazo tonto de la ley",ES,1998,Santiago Segura,2 840 925,2 878 711
Tre uomini e una gamba,IT,1997,"Aldo Baglio, Giovanni Storti, Giacomo Poretti,  Giovanni, Massimo Venier",2 803 126,3 073 478
Ronin,US,1998,John Frankenheimer,2 719 749,4 957 641
Quest For Camelot,US,1998,Frederik Du Chau,2 715 773,2 786 537
Alien: Resurrection,US,1997,Jean-Pierre Jeunet,2 587 313,10 985 527
Spice World,GB,1997,Bob Spiers,2 527 343,6 269 456
Elisabeth I,GB,1998,Shekhar Kapur,2 505 400,3 569 152
What Dreams May Come,US,1998,Vincent Ward,2 495 301,3 068 692
Amistad,US,1997,Steven Spielberg,2 489 735,2 523 939
Great Expectations,US,1998,Alfonso Cuarón,2 478 558,2 492 435
Comedian Harmonists,"DE, AT",1997,Joseph Vilsmaier,2 442 788,3 139 983
Halloween H20: 20 Years Later,US,1998,Steve Miner,2 403 900,2 703 856
Lola rennt,DE,1998,Tom Tykwer,2 315 918,3 063 799
Rush Hour,US,1998,Brett Ratner,2 235 825,8 120 318
G.I. Jane,US,1997,Ridley Scott,2 209 980,4 960 271
Mr. Magoo,US,1997,Stanley Tong,2 172 840,2 184 538
The Parent Trap,US,1998,Nancy Meyers,2 165 981,2 679 993
Wag the Dog,US,1997,Barry Levinson,2 085 994,2 120 806
Così è la vita,IT,1998,"Giacomo Poretti, Aldo Baglio,  Giovanni, Massimo Venier",2 018 368,3 981 923
Blues Brothers 2000,US,1998,John Landis,2 006 423,2 009 135
Grease,US,1978,Randal Kleiser,1 978 875,2 313 665
The Exorcist,US,1973,William Friedkin,1 832 888,8 780 071
Boogie Nights,US,1997,Paul Thomas Anderson,1 832 109,1 839 911
Marius et Jeannette,FR,1997,Robert Guédiguian,1 826 453,3 161 486
The Rainmaker,US,1997,Francis Ford Coppola,1 815 563,1 816 416
The Object of My Affection,US,1998,Nicholas Hytner,1 788 059,1 863 068
L.A. Confidential,US,1997,Curtis Hanson,1 710 073,5 857 504
La vie rêvée des anges,FR,1998,Erick Zonca,1 673 055,2 230 264
Gattaca,US,1997,Andrew Niccol,1 638 114,1 863 467
Red Corner,US,1997,Jon Avnet,1 629 333,1 629 851
The Negotiator,US,1998,F. Gary Gray,1 619 849,2 481 994
Gallo Cedrone,IT,1998,Carlo Verdone,1 619 815,1 625 081
The Game,US,1997,David Fincher,1 616 098,6 071 781
Kundun,US,1997,Martin Scorsese,1 595 462,1 630 076
On connaît la chanson,"FR, CH, IT",1997,Alain Resnais,1 572 529,3 297 034
Jane Austen's Mafia!,US,1998,Jim Abrahams,1 564 963,1 660 444
Nothing to Lose,US,1997,Steve Oedekerk,1 533 925,3 333 437
Home Alone 3,US,1997,Raja Gosnell,1 501 643,3 960 014
The Borrowers,"GBinc, US",1997,Peter Hewitt,1 429 610,4 052 029
Pippi Longstocking,"SE, DE, CA",1997,"Bill Giggie, Michael Schaack, Clive Smith, Clive A. Smith",1 392 915,1 792 402
Das Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit,DE,1998,Marc Rothemund,1 378 932,1 399 729
An American Werewolf in Paris,"US, LU, FR, NL",1997,Anthony Waller,1 354 076,1 621 310
The Boxer,"IE, US",1997,Jim Sheridan,1 344 428,1 360 257
The Wings Of The Dove,GB,1997,Iain Softley,1 333 289,1 353 443
Abre Los Ojos,"ES, FR, IT",1997,Alejandro Amenábar,1 315 494,1 874 637
Her Sey Cok Guzel Olacak,TR,1998,Ömer Vargi,1 300 000,1 311 271
Species II,US,1998,Peter Medak,1 282 973,1 306 359
Fallen,US,1998,Gregory Hoblit,1 281 382,1 282 215
Wrongfully Accused,"US, DE",1998,Pat Proft,1 265 110,2 239 744
Hope Floats,US,1998,Forest Whitaker,1 251 463,1 810 201
1 chance sur 2,FR,1998,Patrice Leconte,1 238 175,1 295 620
La Niña de tus ojos,ES,1998,Fernando Trueba,1 234 242,2 552 515
Picture Perfect,US,1997,Glenn Gordon Caron,1 225 947,1 225 947
Up Close & Personal,US,1996,Jon Avnet,1 219 000,6 212 295
Desperate Measures,US,1998,Barbet Schroeder,1 191 026,1 194 818
Event Horizon,GB,1997,Paul W.S. Anderson,1 167 243,2 333 931
Propaganda,TR,1998,Sinan Cetin,1 150 000,1 330 905
Dark City,AU,1998,Alex Proyas,1 134 589,1 156 523
Primary Colors,US,1998,Mike Nichols,1 131 189,1 135 429
Hard Rain,US,1998,Mikael Salomon,1 096 265,1 119 310
Wishmaster,US,1997,Robert Kurtzman,1 083 170,1 086 271
You've Got Mail,US,1998,Nora Ephron,1 069 427,12 397 532
Ever After,US,1998,Andy Tennant,1 052 494,2 657 590
My Name Is Joe,"GB, DE, ES, FR",1998,Ken Loach,1 040 749,1 834 629
Deep Rising,US,1998,Stephen Sommers,1 038 161,1 122 959
U Turn,US,1997,Oliver Stone,1 024 022,1 027 979
Babe: Pig in the City,"AU, US",1998,George Miller,1 023 638,4 728 253
Breakdown,US,1997,Jonathan Mostow,1 020 658,2 648 210
"Crna mačka, beli mačor","FR, DE, YU",1998,Emir Kusturica, 991 467,2 494 989
Up 'n' Under,GB,1998,John Godber, 990 450, 991 392
Paparazzi,FR,1998,Alain Berberian, 988 887, 994 869
Le cinquième élément,FR,1997,Luc Besson, 975 794,20 808 963
The Ice Storm,US,1997,Ang Lee, 970 053,1 228 380
Midnight in the Garden of Good and Evil,US,1997,Clint Eastwood, 966 539, 969 371
Place Vendôme,"FR, CH, BE",1998,Nicole Garcia, 965 628,1 243 667
Practical Magic,US,1998,Griffin Dunne, 931 801,3 489 861
Cop Land,US,1997,James Mangold, 904 321,3 073 174
Le bossu,"FR, DE, IT",1997,Philippe de Broca, 904 062,2 711 886
Aprile,"IT, FR",1998,Nanni Moretti, 872 924, 920 286
"Fear, and Loathing in Las Vegas",US,1998,Terry Gilliam, 856 281,1 239 780
Agir Roman,"TR, FR, HU",1998,Mustafa Altioklar, 850 000, 850 000
Bin ich schön?,DE,1998,Doris Dörrie, 846 334, 890 264
Mortal Kombat: Annihilation,US,1997,John R. Leonetti, 843 546, 876 685
Restons groupés,FR,1998,Jean-Paul Salomé, 841 261, 847 784
The Siege,US,1998,Edward Zwick, 830 272,6 132 205
Les Misérables,US,1998,Bille August, 822 582,1 233 662
Carne trémula,"ES, FR",1997,Pedro Almodóvar, 804 762,3 095 535
Mad City,US,1997, Costa-Gavras, 801 360, 818 310
Mimic,US,1997,Guillermo del Toro, 794 401,1 981 025
Lolita,"US, FR",1997,Adrian Lyne, 793 526,1 517 189
A Life Less Ordinary,"GB, US",1997,Danny Boyle, 790 320,2 355 659
Il mio West,IT,1998,Giovanni Veronesi, 781 221,1 087 064
Cha-cha-chá,ES,1998,Antonio del Real, 778 048, 780 192
Conte d'automne,FR,1998,Eric Rohmer, 776 265,1 053 606
The Edge,US,1997,Lee Tamahori, 739 869, 741 234
Der Campus,DE,1998,Sönke Wortmann, 728 520, 728 954
Cumhuriyet,TR,1998,Ozkan Oguz, 726 000, 726 000
The Winter Guest,"GB, US",1997,Alan Rickman, 724 167, 739 800
FairyTale: A True Story,GB,1997,Charles Sturridge, 720 274, 735 337
Der Eisbär,DE,1998,"Granz Henman, Til Schweiger", 719 461, 766 322
Meet Joe Black,US,1998,Martin Brest, 717 562,7 371 054
